Event Name,Country,ISO,Disaster Group,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Magnitude,Losses
,Greece,GRC,EQ,36.6545,25.6596,2025,02,04,2025,02,04,,
,Greece,GRC,EQ,36.5152,25.701,2025,02,04,2025,02,04,,
,Ecuador,ECU,EQ,-3.6359,-80.0204,2025,02,04,2025,02,04,,
,Greece,GRC,EQ,36.5778,25.6669,2025,02,04,2025,02,04,,
,Greece,GRC,EQ,36.6609,25.6429,2025,02,04,2025,02,04,,
,Russia,RUS,EQ,65.3924,-168.8886,2025,02,04,2025,02,04,,
,,,EQ,-22.8723,-12.8337,2025,02,04,2025,02,04,,
,Greece,GRC,EQ,36.5816,25.636,2025,02,04,2025,02,04,,
,,,EQ,-38.94,-92.496,2025,02,04,2025,02,04,,
,Central African Republic,CAF,WF,6.585984745827223,25.058484021222263,2025,01,25,2025,02,04,,
,Australia,AUS,WF,-36.612048904239145,141.42690472083171,2025,02,02,2025,02,04,,
,The Democratic Republic of Congo,COD,WF,4.720875538140766,26.351639821303507,2025,01,30,2025,02,04,,
,Australia,AUS,WF,-21.568572171482053,129.7625046905945,2025,01,31,2025,02,04,,
,The Democratic Republic of Congo,COD,WF,4.268963531204435,29.44556842388417,2025,01,28,2025,02,04,,
,Australia,AUS,WF,-21.290730136630568,136.2588948833967,2025,01,30,2025,02,04,,
,Australia,AUS,WF,-37.12739019425914,142.32755456173916,2025,01,27,2025,02,04,,
,Central African Republic,CAF,WF,7.695966920392856,23.61296534939995,2025,01,25,2025,02,04,,
,Australia,AUS,WF,-22.104027452297974,130.6330624971661,2025,01,27,2025,02,04,,
,Ghana,GHA,WF,7.044105874080034,-2.8735749802971253,2025,01,25,2025,02,04,,
,Australia,AUS,WF,-18.171704188049798,135.37777735987646,2025,01,30,2025,02,04,,
,Indonesia,IDN,EQ,2.9875,128.1873,2025,02,03,2025,02,03,,
,Indonesia,IDN,EQ,-10.6332,120.1724,2025,02,03,2025,02,03,,
,Greece,GRC,EQ,36.6275,25.6477,2025,02,03,2025,02,03,,
,Greece,GRC,EQ,36.5336,25.6312,2025,02,03,2025,02,03,,
,Japan,JPN,EQ,28.7013,130.9469,2025,02,03,2025,02,03,,
FAIDA-25,"Madagascar, Mozambique, Zimbabwe",MDG,TC,-19.14,51.38,2025,01,30,2025,02,03,,
,Greece,GRC,EQ,36.5421,25.6563,2025,02,03,2025,02,03,,
,New Caledonia,NCL,EQ,-22.8411,171.3094,2025,02,03,2025,02,03,,
,Greece,GRC,EQ,36.6001,25.615,2025,02,03,2025,02,03,,
,Greece,GRC,EQ,36.7433,25.6197,2025,02,03,2025,02,03,,
,Tonga,TON,EQ,-20.4457,-174.7603,2025,02,03,2025,02,03,,
,Tunisia,TUN,EQ,34.5951,9.6061,2025,02,03,2025,02,03,,
,Greece,GRC,EQ,36.6485,25.6354,2025,02,03,2025,02,03,,
,Greece,GRC,EQ,36.6229,25.6569,2025,02,03,2025,02,03,,
