Disaster Group,ISO,Count
Technological,GMB,4
Technological,GNB,13
Technological,GNQ,14
Technological,GRC,41
Technological,GTM,24
Technological,HKG,8
Technological,HND,15
Technological,HRV,3
Technological,HTI,33
Technological,HUN,7
Technological,IDN,167
Technological,IND,401
Technological,IRN,150
Technological,IRQ,27
Technological,ISR,4
Technological,ITA,60
Technological,JOR,10
Technological,JPN,24
Technological,KAZ,14
Technological,KEN,75
Technological,KGZ,5
Technological,KHM,10
Technological,KIR,1
Technological,KOR,35
Technological,KWT,3
Technological,LAO,5
Technological,LBN,8
Technological,LBR,7
Technological,LBY,68
Technological,LKA,11
Technological,LSO,1
Technological,LTU,1
Technological,LUX,1
Technological,LVA,1
Technological,MAC,1
Technological,MAR,67
Technological,MDA,1
Technological,MDG,14
Technological,MDV,5
Technological,MEX,97
Technological,MKD,5
Technological,MLI,33
Technological,MLT,8
Technological,MMR,28
Technological,MNE,2
Technological,MNG,2
Technological,MOZ,20
Technological,MRT,18
Technological,MUS,1
Technological,MWI,16
Technological,MYS,24
Technological,MYT,3
Technological,NAM,3
Technological,NER,15
Technological,NGA,328
Technological,NIC,5
Technological,NLD,5
Technological,NOR,3
Technological,NPL,59
Technological,NZL,5
Technological,OMN,4
Technological,PAK,154
Technological,PAN,10
Technological,PER,126
Technological,PHL,92
Technological,PNG,4
Technological,POL,12
Technological,PRI,7
Technological,PRK,6
Technological,PRT,7
Technological,PRY,2
Technological,PSE,2
Technological,PYF,1
Technological,QAT,4
Technological,ROU,13
Technological,RUS,179
Technological,RWA,8
Technological,SAU,34
Technological,SCG,4
Technological,SDN,61
Technological,SEN,43
Technological,SGP,1
Technological,SLE,16
Technological,SLV,8
Technological,SOM,18
Technological,SPI,8
Technological,SRB,1
Technological,SSD,5
Technological,STP,2
Technological,SUR,3
Technological,SVK,6
Technological,SVN,1
Technological,SWZ,3
Technological,SYC,1
Technological,SYR,23
Technological,TCA,2
Technological,TCD,4
Technological,TGO,10
Technological,THA,56
Technological,TJK,3
Technological,TKM,1
Technological,TON,1
Technological,TUN,42
Technological,TUR,113
Technological,TUV,1
Technological,TWN,18
Technological,TZA,72
Technological,UGA,69
Technological,UKR,50
Technological,URY,4
Technological,USA,99
Technological,UZB,4
Technological,VEN,29
Technological,VNM,48
Technological,YEM,42
Technological,ZAF,134
Technological,ZMB,30
Technological,ZWE,37
