Disaster Group,Disaster Subgroup,Disaster Type,ISO,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damages ('000 US$),Magnitude,Magnitude Scale
Natural,Geophysical,Earthquake,PER,-6.016,-77.229,1990,5.0,29.0,1990,5.0,29.0,200.0,800.0,70000.0,30000.0,100800.0,1000.0,7.0,Richter
Natural,Geophysical,Earthquake,IRN,28.251 N,55.462 E,1990,11.0,6.0,1990,11.0,6.0,21.0,90.0,21000.0,1310.0,22400.0,232300.0,7.0,Richter
Natural,Geophysical,Earthquake,IDN,8.099 S,125.681 E,1991,7.0,4.0,1991,7.0,4.0,28.0,191.0,15000.0,1000.0,16191.0,18000.0,7.0,Richter
Natural,Geophysical,Earthquake,PAK,38.993,70.423,1991,1.0,31.0,1991,1.0,31.0,300.0,574.0,174755.0,29465.0,204794.0,10000.0,6.0,Richter
Natural,Geophysical,Earthquake,KGZ,42.142 N,73.575 E,1992,8.0,19.0,1992,8.0,19.0,54.0,100.0,54168.0,32538.0,86806.0,130000.0,8.0,Richter
Natural,Geophysical,Earthquake,JPN,42.851 N,139.197 E,1993,7.0,12.0,1993,7.0,12.0,239.0,233.0,5502.0,1620.0,7355.0,1000000.0,8.0,Richter
Natural,Geophysical,Earthquake,PNG,5.889 S,146.202 E,1993,10.0,13.0,1993,10.0,13.0,53.0,200.0,10000.0,10000.0,20200.0,5000.0,7.0,Richter
Natural,Geophysical,Earthquake,IDN,4.967 S,104.302 E,1994,2.0,16.0,1994,2.0,16.0,207.0,1449.0,37620.0,10330.0,49399.0,170476.0,7.0,Richter
Natural,Geophysical,Earthquake,SUN,42.15,42.44,1991,4.0,29.0,1991,4.0,29.0,270.0,1500.0,90000.0,160000.0,251500.0,1700000.0,7.0,Richter
Natural,Geophysical,Earthquake,TUR,39.710 N,39.605 E,1992,3.0,13.0,1992,3.0,13.0,653.0,3850.0,250000.0,95000.0,348850.0,750000.0,7.0,Richter
Natural,Geophysical,Earthquake,CHL,23.34 S,70.36 W,1995,7.0,30.0,1995,7.0,30.0,3.0,58.0,1200.0,575.0,1833.0,1660.0,8.0,Richter
Natural,Geophysical,Earthquake,CHN,25.04 N,102.41 E,1996,2.0,3.0,1996,2.0,3.0,309.0,16925.0,3270000.0,1790870.0,5077795.0,506000.0,7.0,Richter
Natural,Geophysical,Earthquake,CHL,-30.933,-71.22,1997,10.0,14.0,1997,10.0,14.0,8.0,98.0,40000.0,13000.0,53098.0,48000.0,7.0,Richter
Natural,Geophysical,Earthquake,CHN,41.083,114.5,1998,1.0,10.0,1998,1.0,10.0,49.0,12000.0,542000.0,44000.0,598000.0,285500.0,6.0,Richter
Natural,Geophysical,Earthquake,AFG,37.106,70.11,1998,5.0,30.0,1998,5.0,30.0,4700.0,1935.0,70000.0,45000.0,116935.0,10000.0,7.0,Richter
Natural,Geophysical,Earthquake,COL,30.0 N ,76.2 W,1994,6.0,6.0,1994,6.0,6.0,271.0,158.0,12461.0,24797.0,37416.0,2400.0,6.0,Richter
Natural,Geophysical,Earthquake,PHL,13.352 N,121.087 E,1994,11.0,15.0,1994,11.0,15.0,81.0,171.0,266710.0,3985.0,270866.0,3700.0,7.0,Richter
Natural,Geophysical,Earthquake,JPN,34.58 N,135.0 E ,1995,1.0,17.0,1995,1.0,17.0,5297.0,34492.0,255843.0,251301.0,541636.0,100000000.0,7.0,Richter
Natural,Geophysical,Earthquake,CYP,35.1 N,32.3 E,1995,2.0,23.0,1995,2.0,23.0,2.0,5.0,1710.0,150.0,1865.0,4340.0,6.0,Richter
Natural,Geophysical,Earthquake,GRC,38.4 N,22.2 E,1995,6.0,15.0,1995,6.0,15.0,26.0,100.0,7500.0,6300.0,13900.0,422700.0,6.0,Richter
Natural,Geophysical,Earthquake,MEX,16.8 N,98.6 W,1995,9.0,14.0,1995,9.0,14.0,6.0,25.0,1140.0,3505.0,4670.0,21100.0,7.0,Richter
Natural,Geophysical,Earthquake,IDN,1.1,137.15,1996,2.0,17.0,1996,2.0,17.0,166.0,423.0,20125.0,5090.0,25638.0,4200.0,8.0,Richter
Natural,Geophysical,Earthquake,ECU,0.68 S,78.30 W ,1996,3.0,28.0,1996,3.0,28.0,27.0,180.0,15000.0,15525.0,30705.0,7000.0,6.0,Richter
Natural,Geophysical,Earthquake,IND,23.083 N,80.041 E,1997,5.0,22.0,1997,5.0,22.0,43.0,1500.0,125000.0,30000.0,156500.0,37000.0,6.0,Richter
Natural,Geophysical,Earthquake,IRN,37.661 N,57.291 E,1997,2.0,4.0,1997,2.0,4.0,100.0,2000.0,55000.0,27500.0,84500.0,30000.0,6.0,Richter
Natural,Geophysical,Earthquake,TUR,38.0 N,30.1 E,1995,10.0,1.0,1995,10.0,1.0,94.0,240.0,120000.0,40000.0,160240.0,205800.0,6.0,Richter
Natural,Geophysical,Earthquake,CHN,27.308,101.029,1998,11.0,19.0,1998,11.0,19.0,3.0,1543.0,312300.0,23600.0,337443.0,70000.0,6.0,Richter
Natural,Geophysical,Earthquake,TUR,3.878,35.307,1998,6.0,28.0,1998,6.0,28.0,145.0,1600.0,1500000.0,88000.0,1589600.0,550000.0,6.0,Richter
Natural,Geophysical,Earthquake,AZE,40.802,47.448,1999,6.0,4.0,1999,6.0,4.0,1.0,18.0,750.0,8400.0,9168.0,5000.0,5.0,Richter
Natural,Geophysical,Earthquake,CHN,25.607,101.063,2000,1.0,14.0,2000,1.0,14.0,7.0,2528.0,1760000.0,92479.0,1855007.0,73500.0,6.0,Richter
Natural,Geophysical,Earthquake,IDN,-2.071,124.891,1998,11.0,29.0,1998,11.0,29.0,33.0,88.0,3800.0,2560.0,6448.0,200000.0,8.0,Richter
Natural,Geophysical,Earthquake,COL,4.461,-75.724,1999,1.0,25.0,1999,1.0,25.0,1186.0,8563.0,745000.0,452370.0,1205933.0,1857366.0,6.0,Richter
Natural,Geophysical,Earthquake,GRC,38.119,23.605,1999,9.0,7.0,1999,9.0,7.0,143.0,2000.0,113031.0,108.0,115139.0,4200000.0,6.0,Richter
Natural,Geophysical,Earthquake,IDN,-6.845,105.555,1999,12.0,21.0,1999,12.0,21.0,5.0,220.0,14000.0,2700.0,16920.0,3900.0,7.0,Richter
Natural,Geophysical,Earthquake,IND,30.512,79.403,1999,3.0,28.0,1999,3.0,28.0,100.0,394.0,372000.0,105500.0,477894.0,2000.0,7.0,Richter
Natural,Geophysical,Earthquake,IDN,-4.646,102.102,2000,6.0,4.0,2000,6.0,4.0,103.0,2714.0,200000.0,2000.0,204714.0,41000.0,7.0,Richter
Natural,Geophysical,Earthquake,IND,23.419,70.232,2001,1.0,26.0,2001,1.0,26.0,20005.0,166812.0,4365000.0,1790000.0,6321812.0,2623000.0,8.0,Richter
Natural,Geophysical,Earthquake,TUR,40.758,31.161,1999,11.0,12.0,1999,11.0,12.0,845.0,4948.0,165000.0,55000.0,224948.0,1000000.0,7.0,Richter
Natural,Geophysical,Earthquake,TUR,40.748,29.864,1999,8.0,17.0,1999,8.0,17.0,17127.0,43953.0,715000.0,600000.0,1358953.0,20000000.0,8.0,Richter
Natural,Geophysical,Earthquake,GEO,41.765,44.96,2002,4.0,25.0,2002,4.0,25.0,6.0,70.0,18000.0,1086.0,19156.0,350000.0,5.0,Richter
Natural,Geophysical,Earthquake,CHN,39.61,77.23,2003,2.0,24.0,2003,2.0,24.0,268.0,4000.0,510000.0,3000.0,517000.0,157000.0,6.0,Richter
Natural,Geophysical,Earthquake,PER,-16.265,-73.641,2001,6.0,23.0,2001,6.0,23.0,145.0,2713.0,222400.0,124865.0,349978.0,300000.0,8.0,Richter
Natural,Geophysical,Earthquake,TUR,38.573,31.271,2002,2.0,3.0,2002,2.0,3.0,42.0,327.0,222000.0,30000.0,252327.0,95000.0,7.0,Richter
Natural,Geophysical,Earthquake,CHN,25.975,101.29,2003,7.0,21.0,2003,7.0,21.0,16.0,584.0,1250000.0,45000.0,1295584.0,75000.0,6.0,Richter
Natural,Geophysical,Earthquake,CHN,43.77,119.643,2003,8.0,16.0,2003,8.0,16.0,4.0,1000.0,415000.0,39500.0,455500.0,167000.0,5.0,Richter
Natural,Geophysical,Earthquake,CHN,38.383,100.975,2003,10.0,25.0,2003,10.0,25.0,9.0,43.0,50000.0,225000.0,275043.0,40000.0,6.0,Richter
Natural,Geophysical,Earthquake,CHN,42.905,80.515,2003,12.0,1.0,2003,12.0,1.0,11.0,73.0,3510.0,2435.0,6018.0,1933.0,6.0,Richter
Natural,Geophysical,Earthquake,IRN,28.995,58.311,2003,12.0,26.0,2003,12.0,26.0,26796.0,22628.0,200000.0,45000.0,267628.0,500000.0,7.0,Richter
Natural,Geophysical,Earthquake,LKA,3.295,95.982,2004,12.0,26.0,2004,12.0,26.0,35399.0,23176.0,516130.0,480000.0,1019306.0,1316500.0,9.0,Richter
Natural,Geophysical,Earthquake,TUR,39.007,40.464,2003,5.0,1.0,2003,5.0,1.0,177.0,520.0,245000.0,45000.0,290520.0,135000.0,6.0,Richter
Natural,Geophysical,Earthquake,MDV,3.295,95.982,2004,12.0,26.0,2004,12.0,26.0,102.0,2214.0,12000.0,13000.0,27214.0,470100.0,9.0,Richter
